Inventory with related information;;;;;;;;;;Characterization factors (CFs) by impact category;;;;;;;;;;;;;;;;Global NF by impact category ;;;;;;;;;;;;;;;
Flow name;Flow name original;Substance name as commonly in the statistics;Additional Specification (e.g. Emission source);Compartment;Compartment (class 2);Global inventory 2010;Unit;Source;UUID;Climate change;Ozone depletion;Human toxicity, cancer;Human toxicity, non-cancer;Particulate matter;Ionising radiation ;Photochemical ozone formation ;Acidification;Terrestrial eutrophication;Freshwater eutrophication;Marine Eutrophication;Land use;Ecotoxicity freshwater;Water use;Resource depletion, fossils;Resource depletion, minerals and metals;Climate change;Ozone depletion;Human toxicity, cancer;Human toxicity, non-cancer;Particulate matter;Ionising radiation ;Photochemical ozone formation ;Acidification;Terrestrial eutrophication;Freshwater eutrophication;Marine Eutrophication;Land use;Ecotoxicity freshwater;Water use;Resource depletion, fossils;Resource depletion, minerals and metals
(r)-2-(4-chloro-2-methylphenoxy)propionic acid;(r)-2-(4-chloro-2-methylphenoxy)propionic acid;Mecoprop-P;Herbicide;emissions to soil;emissions to soil, unspecified;1.93E+07;kg;global, upscale of EU Leclerc et al. 2018 based on agricultural area (/ 0.0384);456652f8-0fa4-43c5-898c-afd832e61a1e;;;;;;;;;;;;;5.28E+01;;;;;;;;;;;;;;;;1.02E+09;;;
(r)-2-(4-chloro-2-methylphenoxy)propionic acid;(r)-2-(4-chloro-2-methylphenoxy)propionic acid;Mecoprop-P;Herbicide;emissions to water;emissions to water, unspecified;2.64E+05;kg;global, upscale of EU Leclerc et al. 2018 based on agricultural area (/ 0.0384);5892355e-9647-42fe-afd0-00869b37152e;;;;;;;;;;;;;3.26E+03;;;;;;;;;;;;;;;;8.61E+08;;;
(rs)-(e)-5-(4-chlorobenzylidene)-2,2-dimethyl-1-(1h-1,2,4-triazol-1-ylmethyl)cyclopentanol;triticonazole;;Fungicide;emissions to air;emissions to air, unspecified;5.90E+05;kg;global, upscale of EU Leclerc et al. 2018 based on agricultural area (/ 0.0384);8e5ad041-3a7b-492d-9842-1e0def3ea076;;;;1.26E-06;;;;;;;;;7.22E+03;;;;;;;7.43E-01;;;;;;;;;4.26E+09;;;
(rs)-(e)-5-(4-chlorobenzylidene)-2,2-dimethyl-1-(1h-1,2,4-triazol-1-ylmethyl)cyclopentanol;triticonazole;;Fungicide;emissions to soil;emissions to soil, unspecified;7.86E+05;kg;global, upscale of EU Leclerc et al. 2018 based on agricultural area (/ 0.0384);1f22bd15-0b76-4868-890c-13612344a8f0;;;;3.22E-07;;;;;;;;;1.11E+04;;;;;;;2.53E-01;;;;;;;;;8.71E+09;;;
(rs)-(e)-5-(4-chlorobenzylidene)-2,2-dimethyl-1-(1h-1,2,4-triazol-1-ylmethyl)cyclopentanol;triticonazole;;Fungicide;emissions to water;emissions to water, unspecified;3.93E+04;kg;global, upscale of EU Leclerc et al. 2018 based on agricultural area (/ 0.0384);2c53454f-dbfa-4431-ac86-a66dccb6c95d;;;;2.52E-06;;;;;;;;;5.67E+05;;;;;;;9.92E-02;;;;;;;;;2.23E+10;;;
(rs)-s-sec-butyl-o-ethyl-2-oxo-1,3-thiazolidin-3-ylphosphonothioate;phosthiazate;;Insecticide;emissions to air;emissions to air, unspecified;2.33E+05;kg;global, upscale of EU Leclerc et al. 2018 based on agricultural area (/ 0.0384);3085c64f-8adb-4edf-afab-5fe670d1d475;;;;2.10E-05;;;;;;;;;3.60E+03;;;;;;;4.88E+00;;;;;;;;;8.39E+08;;;
(rs)-s-sec-butyl-o-ethyl-2-oxo-1,3-thiazolidin-3-ylphosphonothioate;phosthiazate;;Insecticide;emissions to soil;emissions to soil, unspecified;3.10E+05;kg;global, upscale of EU Leclerc et al. 2018 based on agricultural area (/ 0.0384);5ca92a8a-581c-4ff5-9a46-22ff05b03924;;;;7.21E-06;;;;;;;;;2.27E+04;;;;;;;2.24E+00;;;;;;;;;7.05E+09;;;
(rs)-s-sec-butyl-o-ethyl-2-oxo-1,3-thiazolidin-3-ylphosphonothioate;phosthiazate;;Insecticide;emissions to water;emissions to water, unspecified;1.55E+04;kg;global, upscale of EU Leclerc et al. 2018 based on agricultural area (/ 0.0384);c4c7e1db-d128-41fa-b474-a4aa6492ec8b;;;;7.84E-06;;;;;;;;;1.36E+05;;;;;;;1.22E-01;;;;;;;;;2.12E+09;;;
(s)-5-methyl-2-methylthio-5-phenyl-3-phenylamino-3,5-dihydroimidazol-4-one;fenamidone;;Fungicide;emissions to air;emissions to air, unspecified;8.14E+04;kg;global, upscale of EU Leclerc et al. 2018 based on agricultural area (/ 0.0384);3641d8b6-606d-45b8-9fd5-14f3934408c7;;;;3.71E-06;;;;;;;;;1.20E+04;;;;;;;3.02E-01;;;;;;;;;9.75E+08;;;
(s)-5-methyl-2-methylthio-5-phenyl-3-phenylamino-3,5-dihydroimidazol-4-one;fenamidone;;Fungicide;emissions to soil;emissions to soil, unspecified;1.09E+05;kg;global, upscale of EU Leclerc et al. 2018 based on agricultural area (/ 0.0384);fb7d0038-dc43-49f3-86a9-25e78c5abd73;;;;2.45E-08;;;;;;;;;5.95E+02;;;;;;;2.66E-03;;;;;;;;;6.46E+07;;;
